accoutrements,accouterments
libelling,libeling
libellous,libelous
licence,license
licenced,licensed
licences,licenses
licencing,licensing
likeable,likable
litre,liter
litres,liters
louvre,louver
louvred,louvered
louvres,louvers
lustre,luster
manoeuvrability,maneuverability
manoeuvrable,maneuverable
manoeuvre,maneuver
manoeuvred,maneuvered
manoeuvres,maneuvers
manoeuvring,maneuvering
manoeuvrings,maneuverings
marshalled,marshaled
marshalling,marshaling
marvelled,marveled
marvelling,marveling
marvellous,marvelous
marvellously,marvelously
meagre,meager
mediaeval,medieval
metre,meter
metres,meters
micrometre,micrometer
micrometres,micrometers
milligramme,milligram
milligrammes,milligrams
millilitre,milliliter
millilitres,milliliters
millimetre,millimeter
millimetres,millimeters
miniaturisation,miniaturization
miniaturising,miniaturizing
misspelt,misspelled
mitre,miter
mitres,miters
modelled,modeled
modeller,modeler
modellers,modelers
modelling,modeling
monologue,monolog
monologues,monologs
mould,mold
moulded,molded
moulder,molder
mouldered,moldered
mouldering,moldering
moulders,molders
mouldier,moldier
mouldiest,moldiest
moulding,molding
mouldings,moldings
moulds,molds
mouldy,moldy
moult,molt
moulted,molted
moulting,molting
moults,molts
moustache,mustache
moustached,mustached
moustaches,mustaches
moustachioed,mustachioed
oesophagus,esophagus
oesophaguses,esophaguses
oestrogen,estrogen
offence,offense
offences,offenses
omelette,omelet
omelettes,omelets
orthopaedic,orthopedic
orthopaedics,orthopedics
outmanoeuvre,outmaneuver
outmanoeuvred,outmaneuvered
outmanoeuvres,outmaneuvers
outmanoeuvring,outmaneuvering
paederast,pederast
paederasts,pederasts
paediatric,pediatric
paediatrician,pediatrician
paediatricians,pediatricians
paediatrics,pediatrics
paedophile,pedophile
paedophiles,pedophiles
paedophilia,pedophilia
palaeolithic,paleolithic
palaeontologist,paleontologist
palaeontologists,paleontologists
palaeontology,paleontology
panelled,paneled
panelling,paneling
panellist,panelist
panellists,panelists
parcelled,parceled
parcelling,parceling
pedalled,pedaled
pedalling,pedaling
pencilled,penciled
pencilling,penciling
pharmacopoeia,pharmacopeia
pharmacopoeias,pharmacopeias
philtre,filter
philtres,filters
phoney,phony
plough,plow
ploughed,plowed
ploughing,plowing
ploughman,plowman
ploughmen,plowmen
ploughs,plows
ploughshare,plowshare
ploughshares,plowshares
pouffe,pouf
pouffes,poufs
practise,practice
practised,practiced
practises,practices
practising,practicing
praesidium,presidium
praesidiums,presidiums
pretence,pretense
pretences,pretenses
primaeval,primeval
programme,program
programmes,programs
prologue,prolog
prologues,prologs
pummelled,pummel
pummelling,pummeled
pyjama,pajama
pyjamas,pajamas
pzazz,pizzazz
quarrelled,quarreled
quarrelling,quarreling
ravelled,raveled
ravelling,raveling
reconnoitre,reconnoiter
reconnoitred,reconnoitered
reconnoitres,reconnoiters
reconnoitring,reconnoitering
refuelled,refueled
refuelling,refueling
remodelled,remodeled
remodelling,remodeling
remould,remold
remoulded,remolded
remoulding,remolding
remoulds,remolds
revelled,reveled
reveller,reveler
revellers,revelers
revelling,reveling
rivalled,rivaled
rivalling,rivaling
sabre,saber
sabres,sabers
saltpetre,saltpeter
sceptic,skeptic
sceptical,skeptical
sceptically,skeptically
scepticism,skepticism
sceptics,skeptics
sceptre,scepter
sceptres,scepters
sepulchre,sepulcher
sepulchres,sepulchers
sheikh,sheik
shovelled,shoveled
shovelling,shoveling
shrivelled,shriveled
shrivelling,shriveling
signalled,signaled
signalling,signaling
smoulder,smolder
smouldered,smoldered
smouldering,smoldering
smoulders,smolders
snivelled,sniveled
snivelling,sniveling
snorkelled,snorkeled
snorkelling,snorkeling
snowplough,snowplow
snowploughs,snowplow
sombre,somber
spectre,specter
spectres,specters
spiralled,spiraled
spiralling,spiraling
squirrelled,squirreled
squirrelling,squirreling
stencilled,stenciled
stencilling,stenciling
storey,story
storeys,stories
sulphate,sulfate
sulphates,sulfates
sulphide,sulfide
sulphides,sulfides
sulphur,sulfur
sulphurous,sulfurous
swivelled,swiveled
swivelling,swiveling
syphon,siphon
syphoned,siphoned
syphoning,siphoning
syphons,siphons
tasselled,tasseled
theatre,theater
theatregoer,theatergoer
theatregoers,theatergoers
theatres,theaters
tonne,ton
tonnes,tons
towelled,toweled
towelling,toweling
toxaemia,toxemia
tranquillity,tranquility
tranquillize,tranquilize
tranquillized,tranquilized
tranquillizer,tranquilizer
tranquillizers,tranquilizers
tranquillizes,tranquilizes
tranquillizing,tranquilizing
tranquilly,tranquility
travelled,traveled
traveller,traveler
travellers,travelers
travelling,traveling
trialled,trialed
trialling,trialing
tunnelled,tunneled
tunnelling,tunneling
tyre,tire
tyres,tires
unequalled,unequaled
unravelled,unraveled
unravelling,unraveling
unrivalled,unrivaled
untrammelled,untrammeled
videodisc,videodisk
videodiscs,videodisks
waggon,wagon
waggons,wagons
weaselled,weaseled
weaselling,weaseling
woollen,woolen
woollens,woolens
woollies,woolies
woolly,wooly
worshipped,worshiped
worshipper,worshiper
worshipping,worshiping
yodelled,yodeled
yodelling,yodeling
yoghourt,yogurt
yoghourts,yogurts
yoghurt,yogurt
yoghurts,yogurts
